variable,code,label
education,-1,lt_grade_1
education,0,na
education,1,grade_1_4
education,2,grade_5_6
education,3,grade_7_8
education,4,grade_9
education,5,grade_10
education,6,grade_11
education,7,grade_12
education,8,hs
education,9,some_college
education,10,assoc_vocational
education,11,assoc_academic
education,12,bachelors
education,13,masters
education,14,advanced
ihtype,0,na
ihtype,1,inheritance
ihtype,2,trust
ihtype,3,gift
occupation,0,
occupation,1,
occupation,2,
occupation,3,
occupation,4,
occupation,5,
occupation,6,
race,-7,other
race,1,white
race,2,black
race,3,hisp
race,4,asian
race,5,aian
race,6,nhpi
